SHOT_ID,HUMAN PLAYER POSITION (X) metres,HUMAN PLAYER POSITION (Y) metres,INITITAL VELOCITY OF SHUTTELCOCK(m/s),INITIAL SHUTTELCOCK FIRING ANGLE (DEGREE),SHUTTELCOCK SLANT ANGLE TO SIDELINE(DEGREE),SHUTTLECOCK POSITIION IN AIR(X ) metres,SHUTTLECOCK POSITIION IN AIR(Y) metres,SHUTTLECOCK POSITIION IN AIR(Z) metres
25500036,4,1,70,70,4,9.275405662,1.3688923,2.041251901
25500037,4,1,70,70,4,9.327237709,1.372516749,1.467539357
25500038,4,1,70,70,4,9.372630254,1.375690905,0.862485714
25500039,4,1,70,70,4,9.412884907,1.378505785,0.231075498
25600001,4,1,70,70,5,4.236530592,1.020693745,2.236602821
25600002,4,1,70,70,5,4.468799213,1.041014617,2.836570311
25600003,4,1,70,70,5,4.693458524,1.060669759,3.395975454
25600004,4,1,70,70,5,4.915098056,1.080060706,3.916636622
25600005,4,1,70,70,5,5.133406835,1.099160249,4.396435339
25600006,4,1,70,70,5,5.343360956,1.117528855,4.842972663
25600007,4,1,70,70,5,5.548845775,1.135506447,5.24732678
25600008,4,1,70,70,5,5.750456387,1.15314509,5.613104724
25600009,4,1,70,70,5,5.945853036,1.170240082,5.945885057
25600010,4,1,70,70,5,6.134873427,1.186777223,6.238373186
25600011,4,1,70,70,5,6.320577565,1.20302423,6.497803007
25600012,4,1,70,70,5,6.500820693,1.21879346,6.716747434
25600013,4,1,70,70,5,6.675278288,1.234056522,6.904105507
25600014,4,1,70,70,5,6.846328152,1.249021446,7.054020181
25600015,4,1,70,70,5,7.012111534,1.263525612,7.168265039
25600016,4,1,70,70,5,7.170270642,1.277362741,7.247314197
25600017,4,1,70,70,5,7.325402498,1.29093502,7.293721916
25600018,4,1,70,70,5,7.474237777,1.30395642,7.304934789
25600019,4,1,70,70,5,7.619825131,1.316693663,7.28612531
25600020,4,1,70,70,5,7.756469062,1.328648458,7.22718545
25600021,4,1,70,70,5,7.889629002,1.340298443,7.139195692
25600022,4,1,70,70,5,8.017101085,1.351450805,7.014777411
25600023,4,1,70,70,5,8.140423464,1.362240115,6.860501722
25600024,4,1,70,70,5,8.259885459,1.372691686,6.673935736
25600025,4,1,70,70,5,8.372862584,1.382575903,6.45633467
25600026,4,1,70,70,5,8.482432566,1.392162035,6.206630697
25600027,4,1,70,70,5,8.585194777,1.401152563,5.926191847
25600028,4,1,70,70,5,8.68021204,1.409465496,5.61468998
25600029,4,1,70,70,5,8.773127094,1.41759451,5.269791768
25600030,4,1,70,70,5,8.860743833,1.425259982,4.898025601
25600031,4,1,70,70,5,8.941821508,1.432353359,4.495947251
25600032,4,1,70,70,5,9.019371345,1.439138091,4.061956631
25600033,4,1,70,70,5,9.091785832,1.445473537,3.599500868
25600034,4,1,70,70,5,9.15627648,1.451115738,3.108591893
25600035,4,1,70,70,5,9.220033274,1.456693735,2.588300536
25600036,4,1,70,70,5,9.276866541,1.461666001,2.042139138
25600037,4,1,70,70,5,9.325682769,1.465936868,1.464318389
25600038,4,1,70,70,5,9.374382413,1.470197535,0.859905601
25600039,4,1,70,70,5,9.41389737,1.473654645,0.230096649
25700001,4,1,70,70,6,4.237712674,1.024984609,2.238254765
25700002,4,1,70,70,6,4.471293421,1.049534935,2.837144094
25700003,4,1,70,70,6,4.695256998,1.073074455,3.396500777
25700004,4,1,70,70,6,4.915792574,1.096253678,3.91535154
25700005,4,1,70,70,6,5.131433151,1.118918416,4.396826525
25700006,4,1,70,70,6,5.342515657,1.141104081,4.841250828
25700007,4,1,70,70,6,5.549037084,1.162810358,5.246587139
25700008,4,1,70,70,6,5.748374471,1.183761562,5.614400773
25700009,4,1,70,70,6,5.947849052,1.204727185,5.946286419
25700010,4,1,70,70,6,6.136456865,1.224550665,6.238868258
25700011,4,1,70,70,6,6.320088325,1.243851109,6.496611182
25700012,4,1,70,70,6,6.502538715,1.263027418,6.718725064
25700013,4,1,70,70,6,6.677813646,1.281449555,6.902110094
25700014,4,1,70,70,6,6.846332711,1.299161623,7.052224394
25700015,4,1,70,70,6,7.010440345,1.31641003,7.168722322
25700016,4,1,70,70,6,7.16958527,1.333136836,7.248367339
25700017,4,1,70,70,6,7.323654141,1.349330127,7.292830367
25700018,4,1,70,70,6,7.473066402,1.365033988,7.305283258
25700019,4,1,70,70,6,7.619048215,1.380377295,7.283936736
25700020,4,1,70,70,6,7.756692415,1.394844283,7.226980927
25700021,4,1,70,70,6,7.891619695,1.409025712,7.136630686
25700022,4,1,70,70,6,8.019488134,1.422465226,7.016380483
25700023,4,1,70,70,6,8.141582363,1.435297847,6.861779564
25700024,4,1,70,70,6,8.261074657,1.447856993,6.674412308
25700025,4,1,70,70,6,8.370908876,1.459401035,6.456621861
25700026,4,1,70,70,6,8.480496765,1.470919186,6.207472766
25700027,4,1,70,70,6,8.584075832,1.481805785,5.926927699
25700028,4,1,70,70,6,8.681538756,1.492049551,5.612678331
25700029,4,1,70,70,6,8.772833526,1.501645018,5.269394216
25700030,4,1,70,70,6,8.861927582,1.51100918,4.897036561
25700031,4,1,70,70,6,8.940990268,1.519319004,4.492393013
25700032,4,1,70,70,6,9.018897562,1.52750739,4.063983373
25700033,4,1,70,70,6,9.091964616,1.535187047,3.599901675
25700034,4,1,70,70,6,9.157052861,1.542028097,3.10832673
25700035,4,1,70,70,6,9.21914768,1.548554526,2.590320287
25700036,4,1,70,70,6,9.276055617,1.554535791,2.041175186
25700037,4,1,70,70,6,9.325690196,1.559752595,1.465713162
25700038,4,1,70,70,6,9.372365199,1.564658336,0.861272153
25700039,4,1,70,70,6,9.414016489,1.569036063,0.229666564
25800001,4,1,70,70,7,4.238001452,1.029222904,2.235471041
25800002,4,1,70,70,7,4.469115727,1.057600169,2.835564922
25800003,4,1,70,70,7,4.697118262,1.08559536,3.393830979
25800004,4,1,70,70,7,4.917562529,1.112662512,3.914184463
25800005,4,1,70,70,7,5.132580047,1.139063344,4.397310656
25800006,4,1,70,70,7,5.344260839,1.165054477,4.840800708
25800007,4,1,70,70,7,5.550368249,1.190361285,5.246319931
25800008,4,1,70,70,7,5.748926374,1.214741157,5.613502572
25800009,4,1,70,70,7,5.944055309,1.238699978,5.946104279
25800010,4,1,70,70,7,6.137630074,1.26246797,6.23866621
25800011,4,1,70,70,7,6.320366175,1.284905142,6.49754264
25800012,4,1,70,70,7,6.50117149,1.307105243,6.717929784
25800013,4,1,70,70,7,6.676127156,1.328587098,6.902458508
25800014,4,1,70,70,7,6.847711261,1.349654977,7.054558776
25800015,4,1,70,70,7,7.011708378,1.369791291,7.167576607
25800016,4,1,70,70,7,7.168174371,1.389002899,7.248579016
25800017,4,1,70,70,7,7.32480187,1.408234338,7.294942494
25800018,4,1,70,70,7,7.47275388,1.42640056,7.304868643
25800019,4,1,70,70,7,7.617603355,1.44418584,7.282850512
25800020,4,1,70,70,7,7.755774691,1.461151146,7.22654805
25800021,4,1,70,70,7,7.89065599,1.477712487,7.139419913
25800022,4,1,70,70,7,8.018130855,1.493364433,7.017853571
25800023,4,1,70,70,7,8.141469356,1.508508496,6.861359833
25800024,4,1,70,70,7,8.261824932,1.523286303,6.676524443
25800025,4,1,70,70,7,8.371394272,1.536739726,6.456522369
25800026,4,1,70,70,7,8.479642692,1.550030961,6.208027948
25800027,4,1,70,70,7,8.582432872,1.562652008,5.925058056
25800028,4,1,70,70,7,8.681011282,1.574755915,5.611117164
25800029,4,1,70,70,7,8.773569336,1.586120615,5.26982109
25800030,4,1,70,70,7,8.860295592,1.59676926,4.89702314
25800031,4,1,70,70,7,8.943929259,1.607038183,4.495208621
25800032,4,1,70,70,7,9.018230064,1.616161175,4.062410847
25800033,4,1,70,70,7,9.091162225,1.625116118,3.601962884
25800034,4,1,70,70,7,9.157809797,1.633299411,3.108872084
25800035,4,1,70,70,7,9.220676914,1.641018523,2.589778274
25800036,4,1,70,70,7,9.273410976,1.647493451,2.042535932
25800037,4,1,70,70,7,9.32711778,1.654087818,1.465527238
25800038,4,1,70,70,7,9.374676612,1.659927308,0.861392284
25800039,4,1,70,70,7,9.412390709,1.664558017,0.232105773
25900001,4,1,70,70,8,4.236270303,1.033205626,2.238368159
25900002,4,1,70,70,8,4.470004209,1.066054784,2.836779788
25900003,4,1,70,70,8,4.694386204,1.097589617,3.393839258
25900004,4,1,70,70,8,4.915532247,1.128669666,3.912728774
25900005,4,1,70,70,8,5.130979908,1.15894886,4.396427113
25900006,4,1,70,70,8,5.345460133,1.18909209,4.840396693
25900007,4,1,70,70,8,5.547691307,1.217513828,5.245263076
25900008,4,1,70,70,8,5.74935167,1.245855344,5.613689808
25900009,4,1,70,70,8,5.94374332,1.273175309,5.944148631
25900010,4,1,70,70,8,6.135850658,1.300174234,6.237725045
25900011,4,1,70,70,8,6.320641034,1.326144828,6.495304025
25900012,4,1,70,70,8,6.501074217,1.351503058,6.717886236
25900013,4,1,70,70,8,6.675716566,1.37604744,6.903855263
25900014,4,1,70,70,8,6.846078042,1.399990184,7.055128483
25900015,4,1,70,70,8,7.011258673,1.423204807,7.167548347
25900016,4,1,70,70,8,7.170127768,1.445532403,7.248104891
25900017,4,1,70,70,8,7.322577877,1.466957868,7.294489625
25900018,4,1,70,70,8,7.474266827,1.48827636,7.304868058
25900019,4,1,70,70,8,7.61868545,1.508573074,7.282628616
25900020,4,1,70,70,8,7.754718912,1.52769133,7.226373586
25900021,4,1,70,70,8,7.889316534,1.546607792,7.139907877
25900022,4,1,70,70,8,8.017556701,1.564630772,7.016649221
25900023,4,1,70,70,8,8.141402096,1.582036107,6.862887593
25900024,4,1,70,70,8,8.261417724,1.598903204,6.675427904
25900025,4,1,70,70,8,8.373737594,1.614688732,6.457328273
25900026,4,1,70,70,8,8.480867613,1.629744875,6.206895927
25900027,4,1,70,70,8,8.586220537,1.644551262,5.924685549
25900028,4,1,70,70,8,8.68217517,1.658036807,5.614117409
25900029,4,1,70,70,8,8.773508614,1.670872885,5.271553674
25900030,4,1,70,70,8,8.859688712,1.682984708,4.897459762
25900031,4,1,70,70,8,8.942664151,1.694646145,4.494601039
25900032,4,1,70,70,8,9.020153416,1.705536551,4.062109683
25900033,4,1,70,70,8,9.091268407,1.715531112,3.600132539
25900034,4,1,70,70,8,9.156471343,1.724694787,3.10878154
